Factorial,DataType,Before,After,Size,Duration
10093,Array,1678486987,1678486987,80752,0.002190113
10093,List,1678486987,1678486987,4117944,0.038049936
10094,Array,1678486987,1678486987,80760,0.002239943
10094,List,1678486987,1678486987,4118352,0.042050123
10095,Array,1678486987,1678486987,80768,0.002319813
10095,List,1678486987,1678486987,4118760,0.038020134
10096,Array,1678486987,1678486987,80776,0.002269983
10096,List,1678486987,1678486987,4119168,0.038950205
10097,Array,1678486987,1678486987,80784,0.001420021
10097,List,1678486987,1678486987,4119576,0.038630009
10098,Array,1678486987,1678486987,80792,0.002439976
10098,List,1678486987,1678486987,4119984,0.037990093
10099,Array,1678486987,1678486987,80800,0.002080202
10099,List,1678486987,1678486987,4120392,0.038130045
10100,Array,1678486987,1678486987,80808,0.002370119
10100,List,1678486987,1678486987,4120800,0.03963995
10101,Array,1678486987,1678486987,80816,0.003129959
10101,List,1678486987,1678486987,4121208,0.041339874
10102,Array,1678486987,1678486987,80824,0.001780033
10102,List,1678486987,1678486987,4121616,0.03895998
10103,Array,1678486987,1678486987,80832,0.002189875
10103,List,1678486987,1678486987,4122024,0.038810015
10104,Array,1678486987,1678486987,80840,0.002330065
10104,List,1678486987,1678486987,4122432,0.040520191
10105,Array,1678486987,1678486987,80848,0.002279997
10105,List,1678486987,1678486987,4122840,0.038530111
10106,Array,1678486987,1678486987,80856,0.002449989
10106,List,1678486987,1678486987,4123248,0.040149927
10107,Array,1678486987,1678486987,80864,0.001629829
10107,List,1678486987,1678486987,4123656,0.04460001
10108,Array,1678486987,1678486987,80872,0.004270077
10108,List,1678486987,1678486987,4124064,0.039219856
10109,Array,1678486987,1678486987,80880,0.002520084
10109,List,1678486987,1678486988,4124472,0.044329882
10110,Array,1678486988,1678486988,80888,0.001449823
10110,List,1678486988,1678486988,4124880,0.039000034
10111,Array,1678486988,1678486988,80896,0.002660036
10111,List,1678486988,1678486988,4125288,0.040859938
10112,Array,1678486988,1678486988,80904,0.001529932
10112,List,1678486988,1678486988,4125696,0.039400101
10113,Array,1678486988,1678486988,80912,0.002660036
10113,List,1678486988,1678486988,4126104,0.039129972
10114,Array,1678486988,1678486988,80920,0.002300024
10114,List,1678486988,1678486988,4126512,0.038919926
10115,Array,1678486988,1678486988,80928,0.002490044
10115,List,1678486988,1678486988,4126920,0.03903985
10116,Array,1678486988,1678486988,80936,0.002360106
10116,List,1678486988,1678486988,4127328,0.040769815
10117,Array,1678486988,1678486988,80944,0.001440048
10117,List,1678486988,1678486988,4127736,0.040139914
10118,Array,1678486988,1678486988,80952,0.002490044
10118,List,1678486988,1678486988,4128144,0.038800001
10119,Array,1678486988,1678486988,80960,0.002429962
10119,List,1678486988,1678486988,4128552,0.039019823
10120,Array,1678486988,1678486988,80968,0.002380133
10120,List,1678486988,1678486988,4128960,0.03832984
10121,Array,1678486988,1678486988,80976,0.002640009
10121,List,1678486988,1678486988,4129368,0.041059971
10122,Array,1678486988,1678486988,80984,0.001539946
10122,List,1678486988,1678486988,4129776,0.040960073
10123,Array,1678486988,1678486988,80992,0.003409863
10123,List,1678486988,1678486988,4130184,0.040770054
10124,Array,1678486988,1678486988,81000,0.002569914
10124,List,1678486988,1678486988,4130592,0.039690018
10125,Array,1678486988,1678486988,81008,0.002709866
10125,List,1678486988,1678486988,4131000,0.039210081
10126,Array,1678486988,1678486988,81016,0.001600027
10126,List,1678486988,1678486988,4131408,0.040620089
10127,Array,1678486988,1678486988,81024,0.001479864
10127,List,1678486988,1678486988,4131816,0.040009975
10128,Array,1678486988,1678486988,81032,0.00338006
10128,List,1678486988,1678486988,4132224,0.040139914
10129,Array,1678486988,1678486988,81040,0.002500057
10129,List,1678486988,1678486988,4132632,0.038969994
10130,Array,1678486988,1678486988,81048,0.00267005
10130,List,1678486988,1678486988,4133040,0.039760113
10131,Array,1678486988,1678486988,81056,0.002560139
10131,List,1678486988,1678486988,4133448,0.049779892
10132,Array,1678486988,1678486988,81064,0.001539946
10132,List,1678486988,1678486988,4133856,0.040230036
10133,Array,1678486988,1678486988,81072,0.002789974
10133,List,1678486988,1678486989,4134264,0.057780027
10134,Array,1678486989,1678486989,81080,0.004340172
10134,List,1678486989,1678486989,4134672,0.05411005
10135,Array,1678486989,1678486989,81088,0.009569883
